ID	LICENSE ID	ACCOUNT NUMBER	SITE NUMBER	LEGAL NAME	DOING BUSINESS AS NAME	ADDRESS	CITY	STATE	ZIP CODE	WARD	PRECINCT	WARD PRECINCT	POLICE DISTRICT	LICENSE CODE	LICENSE DESCRIPTION	BUSINESS ACTIVITY ID	BUSINESS ACTIVITY	LICENSE NUMBER	APPLICATION TYPE	APPLICATION CREATED DATE	APPLICATION REQUIREMENTS COMPLETE	PAYMENT DATE	CONDITIONAL APPROVAL	LICENSE TERM START DATE	LICENSE TERM EXPIRATION DATE	LICENSE APPROVED FOR ISSUANCE	DATE ISSUED	LICENSE STATUS	LICENSE STATUS CHANGE DATE	SSA	LATITUDE	LONGITUDE	LOCATION
23060-20110416	2081225	63414	25	STARBUCKS CORPORATION	STARBUCKS COFFEE #2226	66 W WASHINGTON ST  PEDWA	CHICAGO	IL	60602	42	9	42-9	1	1010	Limited Business License			23060	RENEW		02/15/2011	03/28/2011	N	04/16/2011	04/15/2013	03/28/2011	04/07/2011	AAC	08/31/2012		41.883320033	-87.63030327	(41.88332003340497, -87.63030327049952)
1330096-20130916	2274075	257228	1	HALSTED QUALITY GAS, INC.	HALSTED SHELL, DUNKIN DONUTS, MR. SUB	9802 S HALSTED ST	CHICAGO	IL	60628	34	40	34-40	22	1275	Filling Station	666	Operation of a Fuel Filling Station	1330096	RENEW		07/15/2013	09/17/2013	N	09/16/2013	09/15/2015	09/17/2013	09/17/2013	AAI			41.71580477	-87.643208253	(41.71580477012766, -87.64320825324427)
1330102-20030317	1330102	257230	1	GAS N GO, INC.	GRAND CITGO/ MR. SUB / DUNKIN DONUTS	1535 W GRAND AVE	CHICAGO	IL	60642	1	7	1-7	12	1275	Filling Station	666	Operation of a Fuel Filling Station	1330102	ISSUE	12/26/2002	02/20/2003	02/24/2003	N	03/17/2003	11/15/2003	03/14/2003	03/17/2003	AAI			41.890867765	-87.666979759	(41.89086776499436, -87.66697975929355)
23119-20060516	1688831	63414	51	STARBUCKS CORPORATION	STARBUCKS COFFEE #2337	180 N LA SALLE ST	CHICAGO	IL	60601	42	9	42-9	1	1010	Limited Business License			23119	RENEW		03/27/2006	05/11/2006	N	05/16/2006	05/15/2007	05/11/2006	05/11/2006	AAI			41.885444388	-87.632582135	(41.8854443881431, -87.6325821348462)
1330096-20030416	1330096	257228	1	HALSTED QUALITY GAS, INC.	HALSTED SHELL, DUNKIN DONUTS, MR. SUB	9802 S HALSTED ST	CHICAGO	IL	60628	34	40	34-40	22	1275	Filling Station	666	Operation of a Fuel Filling Station	1330096	ISSUE	12/26/2002	03/11/2003	03/11/2003	N	04/16/2003	11/15/2003	04/11/2003	04/16/2003	AAI			41.71580477	-87.643208253	(41.71580477012766, -87.64320825324427)
1330096-20041116	1537717	257228	1	HALSTED QUALITY GAS, INC.	HALSTED SHELL, DUNKIN DONUTS, MR. SUB	9802 S HALSTED ST	CHICAGO	IL	60628	34	40	34-40	22	1275	Filling Station	666	Operation of a Fuel Filling Station	1330096	RENEW		09/27/2004	07/27/2005	N	11/16/2004	11/15/2005	11/05/2004	12/01/2004	AAI			41.71580477	-87.643208253	(41.71580477012766, -87.64320825324427)
1933520-20150916	2416024	337651	1	2800 Lawrence Corp.	SNAPPY #6, DUNKIN DONUTS, MOBIL	2800 W LAWRENCE AVE 1	CHICAGO	IL	60625	40	20	40-20	20	1275	Filling Station	666	Operation of a Fuel Filling Station	1933520	RENEW		07/15/2015	09/09/2015	N	09/16/2015	09/15/2017	09/09/2015	09/10/2015	AAI		21	41.968641408	-87.698724617	(41.96864140759437, -87.6987246165967)
1330096-20051125	1645488	257228	1	HALSTED QUALITY GAS, INC.	HALSTED SHELL, DUNKIN DONUTS, MR. SUB	9802 S HALSTED ST	CHICAGO	IL	60628	34	40	34-40	22	1275	Filling Station	666	Operation of a Fuel Filling Station	1330096	C_CAPA	09/30/2005	09/30/2005	09/30/2005	N	11/25/2005	11/15/2006	11/23/2005	11/25/2005	AAI			41.71580477	-87.643208253	(41.71580477012766, -87.64320825324427)
1330102-20041116	1537722	257230	1	GAS N GO, INC.	GRAND CITGO/ MR. SUB / DUNKIN DONUTS	1535 W GRAND AVE	CHICAGO	IL	60642	1	7	1-7	12	1275	Filling Station	666	Operation of a Fuel Filling Station	1330102	RENEW		09/27/2004	12/01/2004	N	11/16/2004	11/15/2005	12/01/2004	12/01/2004	AAI			41.890867765	-87.666979759	(41.89086776499436, -87.66697975929355)
11200-20020816	1251076	5263	1	TEN REN TEA & GINSENG CO OF CH	TEN REN TEA & GINSENG CO OF CH	2247 S WENTWORTH AVE  1	CHICAGO	IL	60616	25	14	25-14	9	1010	Limited Business License			11200	RENEW		06/28/2002	08/13/2002	N	08/16/2002	08/15/2003	08/13/2002	08/14/2002	AAI			41.851540996	-87.631836057	(41.85154099613448, -87.63183605739881)
46070-20090916	1981575	16618	1	K.J.J. ENTERPRISES, INC.	CORLISS SHELL,  DUNKIN DONUT,MR SUB	11100 S CORLISS AVE	CHICAGO	IL	60628	9	37	9-37	5	1275	Filling Station	666	Operation of a Fuel Filling Station	46070	RENEW		07/15/2009	09/12/2009	N	09/16/2009	09/15/2011	09/12/2009	11/02/2009	AAI			41.692860477	-87.600741875	(41.69286047718907, -87.60074187522434)
23113-20090416	1956391	63414	48	STARBUCKS CORPORATION	STARBUCKS COFFEE #2369	2023  -2025 W ROSCOE ST  MAIN	CHICAGO	IL	60618	32	15	32-15	19	1010	Limited Business License			23113	RENEW		02/17/2009	03/24/2009	N	04/16/2009	04/15/2011	03/24/2009	03/25/2009	AAI			41.943096883	-87.679429001	(41.94309688251642, -87.67942900087363)
1933520-20081028	1933520	337651	1	2800 Lawrence Corp.	SNAPPY #6, DUNKIN DONUTS, MOBIL	2800 W LAWRENCE AVE 1	CHICAGO	IL	60625	40	20	40-20	20	1275	Filling Station	666	Operation of a Fuel Filling Station	1933520	ISSUE		10/07/2008	10/07/2008	N	10/28/2008	09/15/2009	10/28/2008	10/28/2008	AAI		21	41.968641408	-87.698724617	(41.96864140759437, -87.6987246165967)
1196270-20110416	2081321	63414	87	STARBUCKS CORPORATION	STARBUCKS COFFEE #2565	550 W VAN BUREN ST	CHICAGO	IL	60607	42	12	42-12	1	1010	Limited Business License			1196270	RENEW		02/15/2011	03/28/2011	N	04/16/2011	04/15/2013	03/28/2011	04/07/2011	AAC	08/31/2012		41.87685514	-87.641544074	(41.876855139603904, -87.6415440740816)
1330102-20101116	2057602	257230	1	GAS N GO, INC.	GRAND CITGO/ MR. SUB / DUNKIN DONUTS	1535 W GRAND AVE	CHICAGO	IL	60642	1	7	1-7	12	1275	Filling Station	666	Operation of a Fuel Filling Station	1330102	RENEW		09/15/2010	10/26/2010	N	11/16/2010	11/15/2012	10/26/2010	10/27/2010	AAI			41.890867765	-87.666979759	(41.89086776499436, -87.66697975929355)
1330102-20071116	1861217	257230	1	GAS N GO, INC.	GRAND CITGO/ MR. SUB / DUNKIN DONUTS	1535 W GRAND AVE	CHICAGO	IL	60642	1	7	1-7	12	1275	Filling Station	666	Operation of a Fuel Filling Station	1330102	RENEW		09/21/2007	10/17/2007	N	11/16/2007	11/15/2008	10/17/2007	10/18/2007	AAI			41.890867765	-87.666979759	(41.89086776499436, -87.66697975929355)
40531-20050816	1600794	15970	1	SOMIC INC	DUNKIN DONUTS	7156 N HARLEM AVE 1ST	CHICAGO	IL	60631	41	1	41-1	16	1010	Limited Business License			40531	RENEW		06/21/2005	08/01/2005	N	08/16/2005	08/15/2006	08/01/2005	11/18/2005	AAI			42.0116069	-87.80678668	(42.01160690028489, -87.80678668012122)
23064-20060516	1688786	63414	27	STARBUCKS CORPORATION	STARBUCKS COFFEE #225	40 W LAKE ST 1ST	CHICAGO	IL	60601	42	9	42-9	1	1010	Limited Business License			23064	RENEW		03/27/2006	05/11/2006	N	05/16/2006	05/15/2007	05/11/2006	05/11/2006	AAI		1	41.885855996	-87.629421739	(41.88585599581413, -87.6294217392213)
1330102-20081116	1930376	257230	1	GAS N GO, INC.	GRAND CITGO/ MR. SUB / DUNKIN DONUTS	1535 W GRAND AVE	CHICAGO	IL	60642	1	7	1-7	12	1275	Filling Station	666	Operation of a Fuel Filling Station	1330102	RENEW		09/15/2008	11/10/2008	N	11/16/2008	11/15/2010	11/10/2008	11/12/2008	AAI			41.890867765	-87.666979759	(41.89086776499436, -87.66697975929355)
46070-20021116	1282037	16618	1	K.J.J. ENTERPRISES, INC.	CORLISS SHELL,  DUNKIN DONUT,MR SUB	11100 S CORLISS AVE	CHICAGO	IL	60628	9	37	9-37	5	1275	Filling Station	666	Operation of a Fuel Filling Station	46070	RENEW		09/24/2002	11/15/2002	N	11/16/2002	11/15/2003	11/15/2002	11/26/2002	AAI			41.692860477	-87.600741875	(41.69286047718907, -87.60074187522434)
1330102-20051116	1638776	257230	1	GAS N GO, INC.	GRAND CITGO/ MR. SUB / DUNKIN DONUTS	1535 W GRAND AVE	CHICAGO	IL	60642	1	7	1-7	12	1275	Filling Station	666	Operation of a Fuel Filling Station	1330102	RENEW		09/22/2005	11/29/2005	N	11/16/2005	11/15/2006	11/29/2005	11/30/2005	AAI			41.890867765	-87.666979759	(41.89086776499436, -87.66697975929355)
1933520-20090916	1984707	337651	1	2800 Lawrence Corp.	SNAPPY #6, DUNKIN DONUTS, MOBIL	2800 W LAWRENCE AVE 1	CHICAGO	IL	60625	40	20	40-20	20	1275	Filling Station	666	Operation of a Fuel Filling Station	1933520	RENEW		07/15/2009	08/20/2009	N	09/16/2009	09/15/2011	08/20/2009	08/21/2009	AAI		21	41.968641408	-87.698724617	(41.96864140759437, -87.6987246165967)
1330096-20090916	1991242	257228	1	HALSTED QUALITY GAS, INC.	HALSTED SHELL, DUNKIN DONUTS, MR. SUB	9802 S HALSTED ST	CHICAGO	IL	60628	34	40	34-40	22	1275	Filling Station	666	Operation of a Fuel Filling Station	1330096	RENEW		08/25/2009	09/12/2009	N	09/16/2009	09/15/2011	09/12/2009	09/14/2009	AAI			41.71580477	-87.643208253	(41.71580477012766, -87.64320825324427)
1330096-20110916	2106138	257228	1	HALSTED QUALITY GAS, INC.	HALSTED SHELL, DUNKIN DONUTS, MR. SUB	9802 S HALSTED ST	CHICAGO	IL	60628	34	40	34-40	22	1275	Filling Station	666	Operation of a Fuel Filling Station	1330096	RENEW		07/15/2011	10/05/2011	N	09/16/2011	09/15/2013	10/05/2011	10/05/2011	AAI			41.71580477	-87.643208253	(41.71580477012766, -87.64320825324427)
46070-20051116	1626260	16618	1	K.J.J. ENTERPRISES, INC.	CORLISS SHELL,  DUNKIN DONUT,MR SUB	11100 S CORLISS AVE	CHICAGO	IL	60628	9	37	9-37	5	1275	Filling Station	666	Operation of a Fuel Filling Station	46070	RENEW		09/22/2005	11/29/2005	N	11/16/2005	11/15/2006	11/29/2005	11/30/2005	AAI			41.692860477	-87.600741875	(41.69286047718907, -87.60074187522434)
46070-20071116	1851161	16618	1	K.J.J. ENTERPRISES, INC.	CORLISS SHELL,  DUNKIN DONUT,MR SUB	11100 S CORLISS AVE	CHICAGO	IL	60628	9	37	9-37	5	1275	Filling Station	666	Operation of a Fuel Filling Station	46070	RENEW		09/21/2007	10/17/2007	N	11/16/2007	09/15/2009	10/17/2007	10/18/2007	AAI			41.692860477	-87.600741875	(41.69286047718907, -87.60074187522434)
1145144-20030516	1349142	63414	83	STARBUCKS CORPORATION	STARBUCKS COFFEE #2513	1700 W DIVERSEY PKWY	CHICAGO	IL	60614	32	30	32-30	19	1010	Limited Business License			1145144	RENEW		03/25/2003	05/15/2003	N	05/16/2003	05/15/2004	05/15/2003	05/15/2003	AAI			41.932482474	-87.670890134	(41.93248247354816, -87.67089013449565)
1933520-20130916	2275866	337651	1	2800 Lawrence Corp.	SNAPPY #6, DUNKIN DONUTS, MOBIL	2800 W LAWRENCE AVE 1	CHICAGO	IL	60625	40	20	40-20	20	1275	Filling Station	666	Operation of a Fuel Filling Station	1933520	RENEW		07/15/2013	12/18/2013	N	09/16/2013	09/15/2015	12/18/2013	12/19/2013	AAI		21	41.968641408	-87.698724617	(41.96864140759437, -87.6987246165967)
23054-20070516	1810480	63414	22	STARBUCKS CORPORATION	STARBUCKS COFFEE #2201	1023  -01025 W ADDISON ST  1ST	CHICAGO	IL	60613	44	31	44-31	19	1010	Limited Business License			23054	RENEW		03/23/2007	05/04/2007	N	05/16/2007	04/15/2009	05/04/2007	05/07/2007	AAI		17	41.94711896	-87.655302451	(41.947118959575704, -87.65530245115706)
1330096-20150916	2414717	257228	1	HALSTED QUALITY GAS, INC.	HALSTED SHELL, DUNKIN DONUTS, MR. SUB	9802 S HALSTED ST	CHICAGO	IL	60628	34	40	34-40	22	1275	Filling Station	666	Operation of a Fuel Filling Station	1330096	RENEW		07/15/2015	09/16/2015	N	09/16/2015	09/15/2017	09/16/2015	11/16/2015	AAI			41.71580477	-87.643208253	(41.71580477012766, -87.64320825324427)
1330096-20031116	1440102	257228	1	HALSTED QUALITY GAS, INC.	HALSTED SHELL, DUNKIN DONUTS, MR. SUB	9802 S HALSTED ST	CHICAGO	IL	60628	34	40	34-40	22	1275	Filling Station	666	Operation of a Fuel Filling Station	1330096	RENEW		09/26/2003	11/14/2003	N	11/16/2003	11/15/2004	11/14/2003	12/09/2003	AAI			41.71580477	-87.643208253	(41.71580477012766, -87.64320825324427)
1330102-20141116	2356778	257230	1	GAS N GO, INC.	GRAND CITGO/ MR. SUB / DUNKIN DONUTS	1535 W GRAND AVE	CHICAGO	IL	60642	1	7	1-7	12	1275	Filling Station	666	Operation of a Fuel Filling Station	1330102	RENEW		09/15/2014	11/12/2014	N	11/16/2014	11/15/2016	11/12/2014	11/13/2014	AAI			41.890867765	-87.666979759	(41.89086776499436, -87.66697975929355)
1330102-20031116	1440105	257230	1	GAS N GO, INC.	GRAND CITGO/ MR. SUB / DUNKIN DONUTS	1535 W GRAND AVE	CHICAGO	IL	60642	1	7	1-7	12	1275	Filling Station	666	Operation of a Fuel Filling Station	1330102	RENEW		09/26/2003	11/14/2003	N	11/16/2003	11/15/2004	11/14/2003	11/14/2003	AAI			41.890867765	-87.666979759	(41.89086776499436, -87.66697975929355)
1330096-20051116	1638771	257228	1	HALSTED QUALITY GAS, INC.	HALSTED SHELL, DUNKIN DONUTS, MR. SUB	9802 S HALSTED ST	CHICAGO	IL	60628	34	40	34-40	22	1275	Filling Station	666	Operation of a Fuel Filling Station	1330096	RENEW		09/22/2005	09/30/2005	N	11/16/2005	11/15/2006	09/30/2005	09/30/2005	AAI			41.71580477	-87.643208253	(41.71580477012766, -87.64320825324427)
1933520-20110916	2107292	337651	1	2800 Lawrence Corp.	SNAPPY #6, DUNKIN DONUTS, MOBIL	2800 W LAWRENCE AVE 1	CHICAGO	IL	60625	40	20	40-20	20	1275	Filling Station	666	Operation of a Fuel Filling Station	1933520	RENEW		07/15/2011	09/12/2011	N	09/16/2011	09/15/2013	09/12/2011	09/13/2011	AAI		21	41.968641408	-87.698724617	(41.96864140759437, -87.6987246165967)
1330096-20071116	1861213	257228	1	HALSTED QUALITY GAS, INC.	HALSTED SHELL, DUNKIN DONUTS, MR. SUB	9802 S HALSTED ST	CHICAGO	IL	60628	34	40	34-40	22	1275	Filling Station	666	Operation of a Fuel Filling Station	1330096	RENEW		09/21/2007	10/17/2007	N	11/16/2007	09/15/2009	10/17/2007	10/18/2007	AAI			41.71580477	-87.643208253	(41.71580477012766, -87.64320825324427)
46070-20011116	1176649	16618	1	K.J.J. ENTERPRISES, INC.	CORLISS SHELL,  DUNKIN DONUT,MR SUB	11100 S CORLISS AVE	CHICAGO	IL	60628	9	37	9-37	5	1275	Filling Station	666	Operation of a Fuel Filling Station	46070	RENEW		10/03/2001	11/20/2001	N	11/16/2001	11/15/2002	11/20/2001	01/08/2002	AAI			41.692860477	-87.600741875	(41.69286047718907, -87.60074187522434)
46070-20031116	1428112	16618	1	K.J.J. ENTERPRISES, INC.	CORLISS SHELL,  DUNKIN DONUT,MR SUB	11100 S CORLISS AVE	CHICAGO	IL	60628	9	37	9-37	5	1275	Filling Station	666	Operation of a Fuel Filling Station	46070	RENEW		09/26/2003	11/14/2003	N	11/16/2003	11/15/2004	11/14/2003	12/09/2003	AAI			41.692860477	-87.600741875	(41.69286047718907, -87.60074187522434)
69026-20051116	1627038	21100	1	RIVER NORTH CATERING, INC	THE COFFEE GROUNDS	203 N WABASH AVE	CHICAGO	IL	60601	42	9	42-9	1	1006	Retail Food Establishment			69026	RENEW		09/22/2005	10/21/2005	N	11/16/2005	11/15/2006	10/21/2005	10/24/2005	AAC	03/27/2006		41.885828293	-87.626138262	(41.885828292802344, -87.62613826248786)
40531-20120816	2158969	15970	1	SOMIC INC	DUNKIN DONUTS	7156 N HARLEM AVE 1ST	CHICAGO	IL	60631	41	1	41-1	16	1010	Limited Business License			40531	RENEW		06/15/2012	07/06/2012	N	08/16/2012	08/15/2014	07/06/2012	07/09/2012	AAC	10/15/2012		42.0116069	-87.80678668	(42.01160690028489, -87.80678668012122)
46070-20150916	2413141	16618	1	K.J.J. ENTERPRISES, INC.	CORLISS SHELL,  DUNKIN DONUT,MR SUB	11100 S CORLISS AVE	CHICAGO	IL	60628	9	37	9-37	5	1275	Filling Station	666	Operation of a Fuel Filling Station	46070	RENEW		07/15/2015	08/31/2015	N	09/16/2015	09/15/2017	08/31/2015	09/01/2015	AAI			41.692860477	-87.600741875	(41.69286047718907, -87.60074187522434)
46070-20110916	2104852	16618	1	K.J.J. ENTERPRISES, INC.	CORLISS SHELL,  DUNKIN DONUT,MR SUB	11100 S CORLISS AVE	CHICAGO	IL	60628	9	37	9-37	5	1275	Filling Station	666	Operation of a Fuel Filling Station	46070	RENEW		07/15/2011	09/08/2011	N	09/16/2011	09/15/2013	09/08/2011	09/09/2011	AAI			41.692860477	-87.600741875	(41.69286047718907, -87.60074187522434)
46070-20130916	2272205	16618	1	K.J.J. ENTERPRISES, INC.	CORLISS SHELL,  DUNKIN DONUT,MR SUB	11100 S CORLISS AVE	CHICAGO	IL	60628	9	37	9-37	5	1275	Filling Station	666	Operation of a Fuel Filling Station	46070	RENEW		07/15/2013	09/16/2013	N	09/16/2013	09/15/2015	09/16/2013	09/17/2013	AAI			41.692860477	-87.600741875	(41.69286047718907, -87.60074187522434)
46070-20041116	1524004	16618	1	K.J.J. ENTERPRISES, INC.	CORLISS SHELL,  DUNKIN DONUT,MR SUB	11100 S CORLISS AVE	CHICAGO	IL	60628	9	37	9-37	5	1275	Filling Station	666	Operation of a Fuel Filling Station	46070	RENEW		09/27/2004	11/09/2004	N	11/16/2004	11/15/2005	11/09/2004	11/09/2004	AAI			41.692860477	-87.600741875	(41.69286047718907, -87.60074187522434)
46070-20061116	1746713	16618	1	K.J.J. ENTERPRISES, INC.	CORLISS SHELL,  DUNKIN DONUT,MR SUB	11100 S CORLISS AVE	CHICAGO	IL	60628	9	37	9-37	5	1275	Filling Station	666	Operation of a Fuel Filling Station	46070	RENEW		09/20/2006	11/15/2006	N	11/16/2006	11/15/2007	11/15/2006	11/16/2006	AAI			41.692860477	-87.600741875	(41.69286047718907, -87.60074187522434)
1330096-20061116	1758024	257228	1	HALSTED QUALITY GAS, INC.	HALSTED SHELL, DUNKIN DONUTS, MR. SUB	9802 S HALSTED ST	CHICAGO	IL	60628	34	40	34-40	22	1275	Filling Station	666	Operation of a Fuel Filling Station	1330096	RENEW		09/20/2006	10/26/2006	N	11/16/2006	11/15/2007	10/26/2006	11/30/2006	AAI			41.71580477	-87.643208253	(41.71580477012766, -87.64320825324427)
1444018-20090616	1966601	81494	3	URBAN COFFEE OPPORTUNITIES, LLC	STARBUCKS COFFEE #2827	1174 E 55TH ST	CHICAGO	IL	60615	5	41	5-41	2	1010	Limited Business License			1444018	RENEW		04/15/2009	05/05/2009	N	06/16/2009	06/15/2011	05/05/2009	05/06/2009	AAI			41.79517545	-87.596601477	(41.79517545018063, -87.59660147733702)
1330096-20090729	1980423	257228	1	HALSTED QUALITY GAS, INC.	HALSTED SHELL, DUNKIN DONUTS, MR. SUB	9802 S HALSTED ST	CHICAGO	IL	60628	34	40	34-40	22	1275	Filling Station	666	Operation of a Fuel Filling Station	1330096	C_CAPA	07/01/2009	07/01/2009	07/01/2009	N	07/29/2009	09/15/2009	07/28/2009	07/29/2009	AAI			41.71580477	-87.643208253	(41.71580477012766, -87.64320825324427)
61635-20020216	1201615	19493	2	STEVE KOOPMAN	OHIO STREET COFFEE SHOP	600 N LA SALLE DR 1ST	CHICAGO	IL	60610	42	46	42-46	18	1006	Retail Food Establishment			61635	RENEW		12/20/2001	02/14/2002	N	02/16/2002	02/15/2003	04/02/2002	04/02/2002	AAC	02/10/2003		41.892445282	-87.632755374	(41.892445282364825, -87.6327553744108)
25781-20040216	1459270	63563	1	PUROHIT BROTHERS INC	DUNKIN DONUTS/ BASKIN ROBBINS	5050 N CICERO AVE  1	CHICAGO	IL	60630	39	24	39-24	16	1010	Limited Business License			25781	RENEW		12/15/2003	02/13/2004	N	02/16/2004	02/15/2005	12/22/2003	02/17/2004	AAI			41.972908241	-87.748061779	(41.9729082412357, -87.74806177870751)
1330102-20061116	1758027	257230	1	GAS N GO, INC.	GRAND CITGO/ MR. SUB / DUNKIN DONUTS	1535 W GRAND AVE	CHICAGO	IL	60642	1	7	1-7	12	1275	Filling Station	666	Operation of a Fuel Filling Station	1330102	RENEW		09/20/2006	10/26/2006	N	11/16/2006	11/15/2007	10/26/2006	10/27/2006	AAI			41.890867765	-87.666979759	(41.89086776499436, -87.66697975929355)
31316-20050216	1551152	14317	2	LONGO & SIEFER INC	COFFEE & TEA EXCHANGE	3311 N BROADWAY   1	CHICAGO	IL	60657	44	15	44-15	19	1010	Limited Business License			31316	RENEW		12/20/2004	02/16/2005	N	02/16/2005	02/15/2006	02/16/2005	02/17/2005	AAI		8	41.942258246	-87.644320975	(41.94225824560021, -87.64432097511282)
23125-20110416	2081277	63414	54	STARBUCKS CORPORATION	STARBUCKS COFFEE #2378	4553 -4557 N LINCOLN AVE  1ST	CHICAGO	IL	60625	47	45	47-45	19	1010	Limited Business License			23125	RENEW		02/15/2011	03/28/2011	N	04/16/2011	04/15/2013	03/28/2011	04/07/2011	AAC	08/31/2012	21	41.964622923	-87.685770718	(41.964622923210825, -87.68577071779451)
2469231-20160811	2469231	373157	13	BOW & TRUSS, LLC	BOW TRUSS COFFEE ROASTER	3982 N AVONDALE AVE 1ST D	CHICAGO	IL	60641	45	10	45-10	17	1006	Retail Food Establishment	781	Sale of Food Prepared Onsite With Dining Area	2469231	ISSUE	05/17/2016	07/28/2016	09/08/2016	N	08/11/2016	07/15/2018	08/10/2016	08/11/2016	AAI			41.953339986	-87.732027491	(41.95333998629583, -87.73202749084835)
